Title,Author,ISBN,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
"Life After Life","Kate Atkinson","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"American Dirt","Jeanine Cummins","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Kite Runner","Khaled Hosseini","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"What Is the What","Dave Eggers","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"A Thousand Splendid Suns","Khaled Hosseini","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"And the Mountains Echoed","Khaled Hosseini","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Midnight Library","Matt Haig","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Vanishing Half","Brit Bennett","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Little Fires Everywhere","Celeste Ng","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Homegoing","Yaa Gyasi","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Transcendent Kingdom","Yaa Gyasi","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"One Hundred Years of Solitude","Gabriel García Márquez","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Love in the Time of Cholera","Gabriel García Márquez","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Atonement","Ian McEwan","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Great Gatsby","F. Scott Fitzgerald","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Brief Wondrous Life of Oscar Wao","Junot Díaz","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"A Fine Balance","Rohinton Mistry","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Interior Chinatown","Charles Yu","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Great Circle","Maggie Shipstead","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Seven Husbands of Evelyn Hugo","Taylor Jenkins Reid","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"My Brilliant Friend","Elena Ferrante","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Poisonwood Bible","Barbara Kingsolver","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Prodigal Summer","Barbara Kingsolver","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Reader","Bernhard Schlink","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Unbearable Lightness of Being","Milan Kundera","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Memory Keeper's Daughter","Kim Edwards","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"This Is How It Always Is","Laurie Frankel","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Female Persuasion","Meg Wolitzer","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The History of Bees","Maja Lunde","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Circle","Dave Eggers","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Girl, Woman, Other","Bernardine Evaristo","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Euphoria","Lily King","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Twelve Tribes of Hattie","Ayana Mathis","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Tell Me How to Be","Neel Patel","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Where the Crawdads Sing","Delia Owens","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Lessons in Chemistry","Bonnie Garmus","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"An American Marriage","Tayari Jones","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Storied Life of A.J. Fikry","Gabrielle Zevin","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Tomorrow and Tomorrow and Tomorrow","Gabrielle Zevin","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Measure","Nikki Erlick","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Blame","Michelle Huneven","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
